title,category
"[백화점, 홈쇼핑에서] Comfort & Luxury 주얼리 ""빌롱투유""",패션·잡화
"[4in1 워터랩] 래시가드 안녕, 기능성+디자인+가성비 모두 하나로!",패션·잡화
[누적9억 | 움직이는 주얼리] 찰랑이는 물결의 반짝임을 담은 천연 원석,패션·잡화
핑계라고요?!,패션·잡화
이탈리아 감성을 담은 베네치아니코의 다이버 시계 39mm & 42mm,패션·잡화
[누적9억 만족도4.9]블랙야크/제주여행 가세요? 트래블러d+ 하세요!,패션·잡화
