title,category,reward
자석 거치대의 편견을 깨다. 완전히 새로운 [원픽 무선 충전 거치대],테크·가전,18547%
[글로벌 15억 펀딩] 아직도 줄자 쓰세요? 맥파이 양방향 레이저 줄자!,테크·가전,18463%
운동하러 굳-이 나갈 필요 있을까요? 이제는 집에서 '워킹패드'하세요.,테크·가전,18439%
[파워큐브Pro 2세대] 성능까지 충분한 가장 예쁜 보조 배터리,테크·가전,18346%
[2주 한정 프로젝트] 감성캠핑 종결 l 캠핑용 레트로 스마트TV,테크·가전,18233%
진짜가 나타났다. 휴대용 레이저각인의 혁신! 글로벌110억 레이저패커2,테크·가전,18226%
<300만대 판매> 눈감고 3초 코털 정리 끝! 안전한 돔형 코털 제거기,테크·가전,17994%
[이렇게 예쁜데 2만원대?] 타자기 감성의 무선/블루투스 레트로 키보드,테크·가전,17934%
"[레이저각인기] 착한 가격,강한 성능. 해외검증 완료! DAJA DJ6",테크·가전,17887%
[슬기로운집콕생활] 단돈 2만원대에 만나보는 세상편한 스마트폰 거치대!,테크·가전,17858%
16벌 동시 건조/다림질/살균/탈취 모두 다 가능한 애드미 에어스타일러!,테크·가전,17541%
"[3억6천 펀딩] 국산 3D 프린터의 자존심, 크리메이커 메탈 V2",테크·가전,17505%
"당신이 원하던 인터넷, A.spear[광고차단,통신비절감,보안&검열차단]",테크·가전,17380%
글로벌 펀딩 50억으로 컴백! 초경량 665g 신개념 DEUX 듀얼모니터,테크·가전,17230%
[끝판왕 롯청기]최고스팩! 미친가격! 23개최다센서!98%정확도 인식!,테크·가전,16819%
[25시간 사용] 특허받은 벌집망+이중 날개로 느끼는 자연바람 무선선풍기,테크·가전,16803%
완전무선 이어폰의 디자인을 재상상하다 - 어바니스타 스톡홀름,테크·가전,16756%
[글로벌948억] 이번엔 블렌더아닌 샤크닌자 '에어그릴'로 첫 인사드려요,테크·가전,16743%
[4.9 앵콜쇄도] 캠핑 초핫템 ! 안전과 감성 모두 챙긴 랜턴+스피커!,테크·가전,16555%
[3분 OK]터치 한번에 커피와 우유거품이 동시에! 집에서 즐기는 홈카페,테크·가전,16487%
"<내 숨은 키 1cm를 찾자!> 하루 5분, 목견인 #넥사비어 미니",테크·가전,16478%
[4만원대/듀얼충전] 뤂덕들 모여라! 잔망루피 무선 고속충전기,테크·가전,16290%
[평점4.8/앵콜] 다붙여 드립니다! 세계 최초 USB 핸드 실러 다부치,테크·가전,16105%
매직 커스텀키보드. 무선의 편리함과 휴대성을 갖춘 알루미늄 기계식 키보드,테크·가전,16051%
[SPE-G9] 발자국 소리 하나 놓치지 않는 가성비 갑 게이밍 이어폰,테크·가전,16039%
"공기 중 세균을 추적, 파괴하는 무 필터 공기청정기 l 바이플라",테크·가전,16028%
TV 보면서 뱃살을 태운다고?! 우리집 복근 트레이너 [REAL EMS],테크·가전,15889%
"[2억 앵콜] 올인원 노이즈캔슬링 이어폰, 원모어 컴포버즈 프로",테크·가전,15765%
[200g미니 라벨프린터] 잉크없이 바로 출력! 어플로 간편하게 마로마로,테크·가전,15739%
[EMS발+종아리]압박슬리브 형식 웨어러블 마사지기로 붓기완화!피로 싹~,테크·가전,15385%
⭐와디즈최초런칭⭐ 음식물 쓰레기를 자연분해하는 바이오린클,테크·가전,15185%
와디즈에서 가장 먼저 만나는 내 손안의 망원경 카메라 | 캐논 파워샷 줌,테크·가전,15165%
[글로벌 최초 펀딩] 스마트워치가 3만원대? 가성비 끝판왕! 헬로우 솔라,테크·가전,15098%
리얼 FULL HD 스마트 빔프로젝터! 스마트폰 미러링이 필요없는 애니빔,테크·가전,14875%
